Player,FG%,3P%,FT%,PTS,AST,TRB,BLK,STL,All-Star,Salary
Matthew Dellavedova,35.4,23.1,86.5,3.1,3.2,1.3,0.0,0.4,0,9607500
Maurice Harkless,50.2,34.699999999999996,59.099999999999994,5.8,1.1,3.9,0.5,0.9,0,11011234
Max Strus,66.7,0.0,100.0,2.5,0.0,0.5,0.0,0.0,0,898310
Maxi Kleber,46.1,37.3,84.89999999999999,9.1,1.2,5.2,1.1,0.3,0,8000000
Meyers Leonard,50.9,41.4,64.3,6.1,1.1,5.1,0.3,0.3,0,11286516
Mfiondu Kabengele,43.8,45.0,100.0,3.5,0.2,0.9,0.2,0.2,0,1977000
Michael Carter-Williams,42.699999999999996,29.299999999999997,83.2,7.2,2.4,3.3,0.5,1.1,0,1620564
Michael Kidd-Gilchrist,33.300000000000004,25.0,78.60000000000001,2.4,0.6,2.7,0.2,0.1,0,595122
Michael Porter Jr.,50.9,42.199999999999996,83.3,9.3,0.8,4.7,0.5,0.5,0,3389400
Mikal Bridges,51.0,36.1,84.39999999999999,9.1,1.8,4.0,0.6,1.4,0,4161000
Mike Conley,40.9,37.5,82.69999999999999,14.4,4.4,3.2,0.1,0.8,0,32511624
Mike Muscala,40.699999999999996,37.8,81.8,4.8,0.9,2.3,0.3,0.2,0,2028594
Mike Scott,42.6,36.9,81.10000000000001,6.0,0.8,3.6,0.1,0.3,0,4767000
Miles Bridges,42.4,33.0,80.9,13.0,1.8,5.6,0.7,0.6,0,3755400
Mitchell Robinson,74.2,0.0,56.8,9.7,0.6,7.0,2.0,0.9,0,1599712
Miye Oni,37.5,36.8,80.0,3.5,0.4,1.7,0.2,0.4,0,898310
Mo Bamba,46.2,34.599999999999994,67.4,5.4,0.7,4.9,1.4,0.4,0,5697600
Monte Morris,45.9,37.8,84.3,9.0,3.5,1.9,0.2,0.8,0,1588231
Montrezl Harrell,57.99999999999999,0.0,65.8,18.6,1.7,7.1,1.1,0.6,0,6000000
Moritz Wagner,54.50000000000001,31.3,82.1,8.7,1.2,4.9,0.4,0.6,0,2063520
Myles Turner,45.7,34.4,75.1,12.1,1.2,6.6,2.1,0.7,0,18000000
Nassir Little,43.0,23.7,63.6,3.6,0.5,2.3,0.3,0.3,0,2105520
Naz Reid,41.199999999999996,33.0,69.8,9.0,1.2,4.1,0.7,0.6,0,898310
Nemanja Bjelica,48.1,41.9,82.1,11.5,2.8,6.4,0.6,0.9,0,6825000
Nerlens Noel,68.4,33.300000000000004,75.5,7.4,0.9,4.9,1.5,1.0,0,1620564
Nickeil Alexander-Walker,36.8,34.599999999999994,67.60000000000001,5.7,1.9,1.8,0.2,0.4,0,2964840
Nicolas Batum,34.599999999999994,28.599999999999998,90.0,3.6,3.0,4.5,0.4,0.8,0,25565217
Nigel Williams-Goss,31.3,28.599999999999998,100.0,1.4,0.6,0.6,0.1,0.3,0,1500000
Noah Vonleh,56.49999999999999,20.0,78.10000000000001,3.7,0.8,3.4,0.2,0.3,0,2000000
Norman Powell,49.5,39.900000000000006,84.3,16.0,1.8,3.7,0.4,1.2,0,10116576
Norvel Pelle,52.1,0.0,50.0,2.4,0.3,3.0,1.3,0.1,0,350189
OG Anunoby,50.5,39.0,70.6,10.6,1.6,5.3,0.7,1.4,0,2281800
Omari Spellman,43.1,39.1,79.3,7.6,1.0,4.5,0.5,0.7,0,1897800
Otto Porter Jr.,44.3,38.7,70.39999999999999,11.9,1.8,3.4,0.4,1.1,0,27250575
P.J. Tucker,41.5,35.8,81.3,6.9,1.6,6.6,0.5,1.1,0,8349039
Pascal Siakam,45.300000000000004,35.9,79.2,22.9,3.5,7.3,0.9,1.0,1,2351839
Pat Connaughton,45.5,33.1,77.5,5.4,1.6,4.2,0.5,0.4,0,1723050
Patrick Beverley,43.1,38.800000000000004,66.0,7.9,3.6,5.2,0.5,1.1,0,12345680
Patrick McCaw,41.4,32.4,72.2,4.6,2.1,2.3,0.1,1.1,0,4000000
Patrick Patterson,40.8,39.0,81.39999999999999,4.9,0.7,2.6,0.1,0.1,0,1620564
Patty Mills,43.1,38.2,86.6,11.6,1.8,1.6,0.1,0.8,0,12428571
Paul George,43.9,41.199999999999996,87.6,21.5,3.9,5.7,0.4,1.4,0,30560700
Paul Millsap,48.199999999999996,43.5,81.6,11.6,1.6,5.7,0.6,0.9,0,30350000
Quinn Cook,42.5,36.5,78.60000000000001,5.1,1.1,1.2,0.0,0.3,0,3000000
RJ Barrett,40.2,32.0,61.4,14.3,2.6,5.0,0.3,1.0,0,7839960
Rajon Rondo,41.8,32.800000000000004,65.9,7.1,5.0,3.0,0.0,0.8,0,2564753
Raul Neto,45.5,38.6,83.0,5.1,1.8,1.1,0.1,0.4,0,1620564
Rayjon Tucker,46.5,17.599999999999998,82.6,3.1,0.3,1.0,0.1,0.1,0,578573
Reggie Bullock,40.2,33.300000000000004,81.0,8.1,1.4,2.3,0.1,0.9,0,4000000
Reggie Jackson,41.099999999999994,39.300000000000004,83.3,11.9,4.1,3.0,0.2,0.4,0,512721
Richaun Holmes,64.8,0.0,78.8,12.3,1.0,8.1,1.3,0.9,0,4767000
Ricky Rubio,41.5,36.1,86.3,13.0,8.8,4.7,0.2,1.4,0,16200000
Robert Covington,42.199999999999996,33.5,79.80000000000001,12.4,1.3,6.6,1.3,1.6,0,11301219
Robin Lopez,49.2,33.300000000000004,52.800000000000004,5.4,0.7,2.4,0.7,0.2,0,4767000
Rodions Kurucs,44.6,36.7,63.2,4.6,1.1,2.9,0.1,0.5,0,1699236
Rodney Hood,50.6,49.3,77.8,11.0,1.5,3.4,0.2,0.8,0,5718000
Rodney McGruder,39.800000000000004,27.0,55.900000000000006,3.3,0.6,2.7,0.1,0.5,0,4807693
Romeo Langford,35.0,18.5,72.0,2.5,0.4,1.3,0.3,0.3,0,3458400
Rondae Hollis-Jefferson,47.099999999999994,13.0,73.4,7.0,1.8,4.7,0.4,0.8,0,2500000
Royce O'Neale,43.3,37.7,76.4,6.3,2.5,5.5,0.5,0.8,0,1618520
Rudy Gay,44.6,33.6,88.2,10.8,1.7,5.4,0.5,0.5,0,14500000
Rudy Gobert,69.3,0.0,63.0,15.1,1.5,13.5,2.0,0.8,1,23241573
Rui Hachimura,46.6,28.7,82.89999999999999,13.5,1.8,6.1,0.2,0.8,0,4469160
Russell Westbrook,47.199999999999996,25.8,76.3,27.2,7.0,7.9,0.4,1.6,1,38506482
Ryan Anderson,28.599999999999998,20.0,0.0,2.5,1.0,3.5,0.0,0.5,0,1620564
Ryan Arcidiacono,40.9,39.1,71.1,4.5,1.7,1.9,0.1,0.5,0,3000000
Ryan Broekhoff,37.3,39.2,87.5,4.2,0.6,2.5,0.2,0.3,0,1416852
Sekou Doumbouya,39.0,28.599999999999998,67.4,6.4,0.5,3.1,0.2,0.5,0,3285120
Semi Ojeleye,40.8,37.8,87.5,3.4,0.5,2.1,0.1,0.3,0,1618520
Serge Ibaka,51.2,38.5,71.8,15.4,1.4,8.2,0.8,0.5,0,23271604
Seth Curry,49.5,45.2,82.5,12.4,1.9,2.3,0.1,0.6,0,7461380
Shabazz Napier,41.199999999999996,31.7,82.39999999999999,10.3,4.7,2.8,0.2,1.2,0,1845301
Shai Gilgeous-Alexander,47.099999999999994,34.699999999999996,80.7,19.0,3.3,5.9,0.7,1.1,0,3952920
Shake Milton,48.4,43.0,78.5,9.4,2.6,2.2,0.2,0.5,0,1455697
Shaquille Harrison,46.7,38.1,78.0,4.9,1.1,2.0,0.4,0.8,0,1620564
Solomon Hill,39.6,36.8,74.1,5.5,1.8,2.8,0.2,0.7,0,12758781
Spencer Dinwiddie,41.5,30.8,77.8,20.6,6.8,3.5,0.3,0.6,0,10605600
Stanley Johnson,37.3,29.2,56.3,2.4,0.8,1.5,0.2,0.2,0,3623000
Stanton Kidd,0.0,0.0,0.0,0.0,0.3,0.8,0.0,0.0,0,898310
Stephen Curry,40.2,24.5,100.0,20.8,6.6,5.2,0.4,1.0,0,40231758
Sterling Brown,37.1,32.4,80.0,5.1,1.0,3.5,0.1,0.6,0,1618520
Steven Adams,59.199999999999996,33.300000000000004,58.199999999999996,10.9,2.3,9.3,1.1,0.8,0,25842697
T.J. Leaf,41.9,27.800000000000004,43.8,3.0,0.3,2.5,0.1,0.4,0,2813280
T.J. McConnell,51.6,29.4,83.3,6.5,5.0,2.7,0.2,0.8,0,3500000
T.J. Warren,53.6,40.300000000000004,81.89999999999999,19.8,1.5,4.2,0.5,1.2,0,10810000
Taj Gibson,58.4,28.599999999999998,73.2,6.1,0.8,4.3,0.5,0.4,0,9000000
Talen Horton-Tucker,46.7,30.8,50.0,5.7,1.0,1.2,0.2,1.3,0,898310
Taurean Prince,37.6,33.900000000000006,79.80000000000001,12.1,1.8,6.0,0.4,0.9,0,3481986
Terance Mann,46.800000000000004,35.0,66.7,2.4,1.3,1.3,0.1,0.3,0,1000000
Terence Davis,45.6,38.800000000000004,86.4,7.5,1.6,3.3,0.2,0.5,0,898310
Terrance Ferguson,35.5,29.2,75.0,3.9,0.9,1.3,0.3,0.5,0,2475840
Terrence Ross,40.300000000000004,35.099999999999994,85.3,14.7,1.2,3.2,0.3,1.1,0,12500000
Terry Rozier,42.3,40.699999999999996,87.4,18.0,4.1,4.4,0.2,1.0,0,19894737
Thabo Sefolosha,40.699999999999996,27.800000000000004,37.5,2.2,0.6,2.3,0.3,0.6,0,1620564
Thaddeus Young,44.800000000000004,35.6,58.3,10.3,1.8,4.9,0.4,1.4,0,12900000
Thanasis Antetokounmpo,50.0,0.0,41.199999999999996,2.8,0.8,1.2,0.1,0.4,0,1445697
Theo Pinson,28.999999999999996,18.8,93.8,3.6,1.7,1.6,0.1,0.5,0,1445697
Thomas Bryant,58.099999999999994,40.699999999999996,74.1,13.2,1.8,7.2,1.1,0.5,0,8000000
Thon Maker,48.199999999999996,34.4,66.4,4.7,0.7,2.8,0.7,0.4,0,3569643
Tim Frazier,36.199999999999996,33.300000000000004,79.2,3.6,3.4,1.2,0.1,0.5,0,1620564
Tim Hardaway Jr.,43.4,39.800000000000004,81.89999999999999,15.8,1.9,3.3,0.1,0.6,0,20025127
Tobias Harris,47.099999999999994,36.7,80.60000000000001,19.6,3.2,6.9,0.6,0.7,0,32742000
Tony Bradley,66.7,100.0,65.2,4.9,0.4,4.6,0.6,0.2,0,1962360
Tony Snell,44.5,40.2,100.0,8.0,2.2,1.9,0.3,0.5,0,11392857
Torrey Craig,46.1,32.6,61.1,5.4,0.8,3.3,0.6,0.4,0,2000000
Trae Young,43.7,36.1,86.0,29.6,9.3,4.3,0.1,1.1,1,6273000
Treveon Graham,36.0,27.500000000000004,64.3,4.4,0.8,2.7,0.1,0.4,0,1645357
Trevor Ariza,43.8,37.2,83.8,8.0,1.7,4.6,0.3,1.3,0,12195122
Trey Burke,45.0,42.699999999999996,79.3,7.4,2.5,1.5,0.1,0.5,0,1620564
Trey Lyles,44.6,38.7,73.3,6.4,1.1,5.7,0.4,0.4,0,5500000
Tristan Thompson,51.2,39.1,61.5,12.0,2.1,10.1,0.9,0.6,0,18539130
Troy Brown Jr.,43.9,34.1,78.4,10.4,2.6,5.6,0.1,1.2,0,3219480
Troy Daniels,38.7,34.8,62.5,4.3,0.4,1.1,0.1,0.2,0,384541
Ty Jerome,33.6,28.000000000000004,75.0,3.3,1.4,1.5,0.1,0.5,0,2193480
Tyler Herro,42.8,38.9,87.0,13.5,2.2,4.1,0.2,0.6,0,3640200
Tyler Johnson,38.800000000000004,31.900000000000002,84.0,7.0,1.9,1.9,0.2,0.4,0,183115
Tyler Zeller,25.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0,245686
Tyrone Wallace,31.8,6.7,64.7,2.9,0.9,1.6,0.1,0.5,0,1588231
Tyson Chandler,77.8,0.0,46.2,1.3,0.2,2.5,0.3,0.2,0,1620564
Tyus Jones,45.9,37.9,74.1,7.4,4.4,1.6,0.1,0.9,0,9258000
Udonis Haslem,36.4,33.300000000000004,75.0,3.0,0.3,4.0,0.0,0.0,0,1620564
Victor Oladipo,39.4,31.7,81.39999999999999,14.5,2.9,3.9,0.2,0.9,0,21000000
Vince Carter,35.199999999999996,30.2,79.3,5.0,0.8,2.1,0.4,0.4,0,1620564
Vincent Poirier,47.199999999999996,50.0,85.7,1.9,0.4,2.0,0.4,0.1,0,2505793
Wayne Ellington,35.099999999999994,35.0,84.6,5.1,1.2,1.8,0.1,0.4,0,8000000
Wendell Carter Jr.,53.400000000000006,20.7,73.7,11.3,1.2,9.4,0.8,0.8,0,5201400
Wenyen Gabriel,43.8,30.0,68.2,2.1,0.3,1.7,0.2,0.4,0,1445697
Wes Iwundu,41.6,34.1,80.4,5.8,1.2,2.5,0.3,0.5,0,1618420
Wesley Matthews,39.6,36.4,76.5,7.4,1.4,2.5,0.1,0.6,0,2564753
Will Barton,45.0,37.5,76.7,15.1,3.7,6.3,0.5,1.1,0,12776786
Willie Cauley-Stein,57.9,0.0,60.6,7.2,1.3,5.8,1.1,0.9,0,2177483
Wilson Chandler,40.400000000000006,30.599999999999998,87.0,5.9,1.1,4.1,0.3,0.5,0,1620564
Yogi Ferrell,42.0,30.4,85.7,4.4,1.4,1.0,0.1,0.4,0,3150000
Zach Collins,47.099999999999994,36.8,75.0,7.0,1.5,6.3,0.5,0.5,0,4240200
Zach LaVine,45.0,38.0,80.2,25.5,4.2,4.8,0.5,1.5,0,19500000
Zhaire Smith,27.3,0.0,50.0,1.1,0.3,0.3,0.0,0.4,0,3058800
Zion Williamson,58.3,42.9,64.0,22.5,2.1,6.3,0.4,0.7,0,9757440
