Player,FG%,3P%,FT%,PTS,AST,TRB,BLK,STL,All-Star,Salary
Coby White,39.4,35.4,79.10000000000001,13.2,2.7,3.5,0.1,0.8,0,5307120
Cody Martin,43.0,23.400000000000002,64.60000000000001,5.0,2.0,3.3,0.2,0.8,0,1173310
Cody Zeller,52.400000000000006,24.0,68.2,11.1,1.5,7.1,0.4,0.7,0,14471910
Collin Sexton,47.199999999999996,38.0,84.6,20.8,3.0,3.1,0.1,1.0,0,4764960
Cory Joseph,41.5,35.199999999999996,85.7,6.4,3.5,2.6,0.3,0.7,0,12000000
Courtney Lee,48.8,44.7,85.7,4.5,0.5,1.3,0.3,0.8,0,12759670
D'Angelo Russell,42.6,36.7,80.9,23.1,6.3,3.9,0.3,1.1,0,27285000
D.J. Augustin,39.900000000000006,34.8,89.0,10.5,4.6,2.1,0.0,0.6,0,7250000
D.J. Wilson,39.4,24.7,61.1,3.6,0.7,2.5,0.1,0.1,0,2961120
Damian Jones,68.0,22.2,73.8,5.6,0.6,3.7,0.7,0.5,0,2305057
Damian Lillard,46.300000000000004,40.1,88.8,30.0,8.0,4.3,0.3,1.1,0,29802321
Damion Lee,41.699999999999996,35.6,87.3,12.7,2.7,4.9,0.1,1.0,0,842327
Damyean Dotson,41.4,36.199999999999996,66.7,6.7,1.2,1.9,0.1,0.5,0,1618520
Daniel Gafford,70.1,0.0,53.300000000000004,5.1,0.5,2.5,1.3,0.3,0,898310
Daniel Theis,56.599999999999994,33.300000000000004,76.3,9.2,1.7,6.6,1.3,0.6,0,5000000
Danilo Gallinari,43.8,40.5,89.3,18.7,1.9,5.2,0.1,0.7,0,22615559
Danny Green,41.6,36.7,68.8,8.0,1.3,3.3,0.5,1.3,0,14634146
Dante Exum,47.099999999999994,34.9,74.4,4.5,1.1,1.9,0.2,0.4,0,9600000
Danuel House Jr.,42.699999999999996,36.3,81.10000000000001,10.5,1.3,4.2,0.5,1.1,0,3540000
Darius Bazley,39.4,34.8,69.39999999999999,5.6,0.7,4.0,0.7,0.4,0,2284800
Darius Garland,40.1,35.5,87.5,12.3,3.9,1.9,0.1,0.7,0,6400920
David Nwaba,52.1,42.9,66.7,5.2,0.4,2.3,0.6,0.6,0,903111
De'Aaron Fox,48.0,29.2,70.5,21.1,6.8,3.8,0.5,1.5,0,6392760
De'Andre Hunter,41.0,35.5,76.4,12.3,1.8,4.5,0.3,0.7,0,7068360
De'Anthony Melton,40.1,28.599999999999998,76.9,7.6,2.9,3.7,0.3,1.3,0,1416852
DeAndre Jordan,66.60000000000001,0.0,68.0,8.3,1.9,10.0,0.9,0.3,0,9881598
DeAndre' Bembry,45.6,23.1,54.2,5.8,1.9,3.5,0.4,1.3,0,2603982
DeMar DeRozan,53.1,25.7,84.5,22.1,5.6,5.5,0.3,1.0,0,27739975
DeMarre Carroll,37.9,24.2,69.0,3.6,1.0,2.3,0.2,0.3,0,512721
Deandre Ayton,54.6,23.1,75.3,18.2,1.9,11.5,1.5,0.7,0,9562920
