Player,FG%,3P%,FT%,PTS,AST,TRB,BLK,STL
Garrison Mathews,42.9,41.3,91.2,5.4,0.6,1.3,0.1,0.4
Wesley Matthews,39.6,36.4,76.5,7.4,1.4,2.5,0.1,0.6
Luc Mbah a Moute,40.0,0.0,50.0,1.7,0.0,0.7,0.0,0.7
Patrick McCaw,41.4,32.4,72.2,4.6,2.1,2.3,0.1,1.1
CJ McCollum,45.1,37.9,75.7,22.2,4.4,4.2,0.6,0.8
T.J. McConnell,51.6,29.4,83.3,6.5,5.0,2.7,0.2,0.8
Jalen McDaniels,47.099999999999994,37.5,82.39999999999999,5.6,0.8,4.1,0.2,0.5
Doug McDermott,48.8,43.5,82.8,10.3,1.1,2.5,0.1,0.2
JaVale McGee,63.7,50.0,64.60000000000001,6.6,0.5,5.7,1.4,0.5
Rodney McGruder,39.800000000000004,27.0,55.900000000000006,3.3,0.6,2.7,0.1,0.5
Alfonzo McKinnie,42.699999999999996,21.5,71.0,4.6,0.4,2.8,0.2,0.6
Jordan McLaughlin,48.9,38.2,66.7,7.6,4.2,1.6,0.1,1.1
Ben McLemore,44.4,40.0,74.6,10.1,0.8,2.2,0.2,0.6
Jordan McRae,40.699999999999996,35.699999999999996,76.1,11.5,2.5,3.4,0.4,0.6
Nicolò Melli,42.1,33.5,74.0,6.6,1.4,3.0,0.4,0.6
De'Anthony Melton,40.1,28.599999999999998,76.9,7.6,2.9,3.7,0.3,1.3
Chimezie Metu,57.099999999999994,0.0,76.9,3.2,0.6,1.8,0.3,0.2
Khris Middleton,49.7,41.5,91.60000000000001,20.9,4.3,6.2,0.1,0.9
Eric Mika,66.7,0.0,100.0,6.0,0.0,7.0,0.0,0.0
C.J. Miles,32.2,31.4,75.0,6.4,1.2,1.2,0.4,1.0
Malcolm Miller,41.4,36.4,37.5,1.3,0.4,0.6,0.1,0.2
Patty Mills,43.1,38.2,86.6,11.6,1.8,1.6,0.1,0.8
Paul Millsap,48.199999999999996,43.5,81.6,11.6,1.6,5.7,0.6,0.9
Shake Milton,48.4,43.0,78.5,9.4,2.6,2.2,0.2,0.5
Donovan Mitchell,44.9,36.6,86.3,24.0,4.3,4.4,0.2,1.0
Naz Mitrou-Long,35.3,16.7,0.0,2.8,1.6,1.4,0.2,0.2
Adam Mokoka,42.9,40.0,50.0,2.9,0.4,0.9,0.0,0.4
Malik Monk,43.4,28.4,82.0,10.3,2.1,2.9,0.3,0.5
Matt Mooney,25.0,0.0,0.0,0.5,0.3,0.8,0.3,0.5
E'Twaun Moore,42.6,37.7,68.89999999999999,8.3,1.4,2.3,0.2,0.6
Ja Morant,47.699999999999996,33.5,77.60000000000001,17.8,7.3,3.9,0.3,0.9
Juwan Morgan,57.699999999999996,37.5,75.0,1.7,0.3,1.4,0.1,0.0
Marcus Morris,43.8,40.8,82.3,16.7,1.4,5.0,0.5,0.8
Markieff Morris,44.3,38.6,77.60000000000001,9.7,1.3,3.8,0.3,0.5
Monte Morris,45.9,37.8,84.3,9.0,3.5,1.9,0.2,0.8
Johnathan Motley,73.3,100.0,71.39999999999999,2.2,0.6,0.8,0.0,0.2
Emmanuel Mudiay,46.2,34.5,75.9,7.3,2.1,2.3,0.2,0.4
Mychal Mulder,38.800000000000004,30.8,75.0,11.0,1.1,3.3,0.1,0.3
Dejounte Murray,46.2,36.9,79.80000000000001,10.9,4.1,5.8,0.3,1.7
Jamal Murray,45.6,34.599999999999994,88.1,18.5,4.8,4.0,0.3,1.1
Džanan Musa,37.2,24.4,75.0,4.8,1.1,2.2,0.0,0.4
Mike Muscala,40.699999999999996,37.8,81.8,4.8,0.9,2.3,0.3,0.2
Svi Mykhailiuk,41.0,40.400000000000006,81.39999999999999,9.0,1.9,1.9,0.1,0.7
Abdel Nader,46.800000000000004,37.5,77.3,6.3,0.7,1.8,0.4,0.4
Larry Nance Jr.,53.1,35.199999999999996,67.60000000000001,10.1,2.2,7.3,0.4,1.0
Shabazz Napier,41.199999999999996,31.7,82.39999999999999,10.3,4.7,2.8,0.2,1.2
Raul Neto,45.5,38.6,83.0,5.1,1.8,1.1,0.1,0.4
Malik Newman,0.0,0.0,100.0,2.0,0.0,0.0,0.0,0.0
Georges Niang,43.8,40.0,83.3,5.9,0.7,1.9,0.1,0.3
Joakim Noah,50.0,0.0,75.0,2.8,1.4,3.2,0.2,0.2
Nerlens Noel,68.4,33.300000000000004,75.5,7.4,0.9,4.9,1.5,1.0
Zach Norvell,25.0,37.5,100.0,2.0,0.6,1.2,0.0,0.4
Jaylen Nowell,35.8,11.5,94.1,3.8,1.3,0.9,0.1,0.2
Frank Ntilikina,39.300000000000004,32.1,86.4,6.3,3.0,2.1,0.3,0.9
Kendrick Nunn,43.9,35.0,85.0,15.3,3.3,2.7,0.2,0.8
Jusuf Nurkić,49.5,20.0,88.6,17.6,4.0,10.3,2.0,1.4
David Nwaba,52.1,42.9,66.7,5.2,0.4,2.3,0.6,0.6
Royce O'Neale,43.3,37.7,76.4,6.3,2.5,5.5,0.5,0.8
Kyle O'Quinn,49.4,25.900000000000002,55.00000000000001,3.5,1.8,4.0,0.8,0.2
Semi Ojeleye,40.8,37.8,87.5,3.4,0.5,2.1,0.1,0.3
Jahlil Okafor,62.3,33.300000000000004,64.5,8.1,1.2,4.2,0.7,0.2
Elie Okobo,39.800000000000004,35.199999999999996,70.39999999999999,4.0,2.1,1.6,0.1,0.4
Josh Okogie,42.699999999999996,26.6,79.60000000000001,8.6,1.6,4.3,0.4,1.1
KZ Okpala,60.0,0.0,50.0,1.4,0.2,1.0,0.2,0.4
Victor Oladipo,39.4,31.7,81.39999999999999,14.5,2.9,3.9,0.2,0.9
Kelly Olynyk,46.2,40.6,86.0,8.2,1.7,4.6,0.3,0.7
Miye Oni,37.5,36.8,80.0,3.5,0.4,1.7,0.2,0.4
Cedi Osman,43.7,38.3,67.0,11.0,2.4,3.6,0.2,0.8
Kelly Oubre Jr.,45.2,35.199999999999996,78.0,18.7,1.5,6.4,0.7,1.3
Tariq Owens,20.0,0.0,100.0,1.3,0.0,1.0,0.0,0.3
Jeremy Pargo,50.0,42.9,0.0,8.3,2.7,1.0,0.0,0.3
Jabari Parker,51.0,26.900000000000002,75.3,14.0,1.8,5.6,0.4,1.2
Chandler Parsons,27.800000000000004,28.599999999999998,0.0,2.8,0.6,1.4,0.2,0.8
Eric Paschall,49.7,28.7,77.4,14.0,2.1,4.6,0.2,0.5
Anžejs Pasečņiks,52.6,0.0,58.599999999999994,5.8,0.7,4.0,0.4,0.3
Patrick Patterson,40.8,39.0,81.39999999999999,4.9,0.7,2.6,0.1,0.1
Justin Patton,40.0,25.0,0.0,1.8,0.4,1.0,0.0,0.0
Chris Paul,48.9,36.5,90.7,17.6,6.7,5.0,0.2,1.6
Cameron Payne,48.5,51.7,85.7,10.9,3.0,3.9,0.3,1.0
Elfrid Payton,43.9,20.3,56.99999999999999,10.0,7.2,4.7,0.4,1.6
Gary Payton II,41.4,28.299999999999997,50.0,3.9,1.7,2.8,0.2,1.1
Norvel Pelle,52.1,0.0,50.0,2.4,0.3,3.0,1.3,0.1
Theo Pinson,28.999999999999996,18.8,93.8,3.6,1.7,1.6,0.1,0.5
Mason Plumlee,61.5,0.0,53.5,7.2,2.5,5.2,0.6,0.5
Jakob Poeltl,62.4,0.0,46.5,5.6,1.8,5.7,1.4,0.6
Vincent Poirier,47.199999999999996,50.0,85.7,1.9,0.4,2.0,0.4,0.1
Shamorie Ponds,60.0,50.0,100.0,2.3,0.5,0.3,0.3,0.0
Jordan Poole,33.300000000000004,27.900000000000002,79.80000000000001,8.8,2.4,2.1,0.2,0.6
Kevin Porter Jr.,44.2,33.5,72.3,10.0,2.2,3.2,0.3,0.9
Michael Porter Jr.,50.9,42.199999999999996,83.3,9.3,0.8,4.7,0.5,0.5
Otto Porter Jr.,44.3,38.7,70.39999999999999,11.9,1.8,3.4,0.4,1.1
Bobby Portis,45.0,35.8,76.3,10.1,1.5,5.1,0.3,0.5
Kristaps Porziņģis,42.699999999999996,35.199999999999996,79.9,20.4,1.8,9.5,2.0,0.7
Dwight Powell,63.800000000000004,25.6,66.7,9.4,1.5,5.7,0.6,0.9
Norman Powell,49.5,39.900000000000006,84.3,16.0,1.8,3.7,0.4,1.2
Taurean Prince,37.6,33.900000000000006,79.80000000000001,12.1,1.8,6.0,0.4,0.9
Chasson Randle,0.0,0.0,83.3,1.7,1.7,0.7,0.0,0.7
Julius Randle,46.0,27.700000000000003,73.3,19.5,3.1,9.7,0.3,0.8
Josh Reaves,33.300000000000004,0.0,100.0,2.0,0.8,0.8,0.0,0.0
Cam Reddish,38.4,33.2,80.2,10.5,1.5,3.7,0.5,1.1
J.J. Redick,45.300000000000004,45.300000000000004,89.2,15.3,2.0,2.5,0.2,0.3
Naz Reid,41.199999999999996,33.0,69.8,9.0,1.2,4.1,0.7,0.6
Josh Richardson,43.0,34.1,80.9,13.7,2.9,3.2,0.7,0.9
Austin Rivers,42.1,35.6,70.3,8.8,1.7,2.6,0.1,0.7
Andre Roberson,27.6,21.4,50.0,2.9,0.6,3.9,0.4,0.1
Duncan Robinson,47.0,44.6,93.10000000000001,13.5,1.4,3.2,0.3,0.5
Glenn Robinson III,48.6,39.1,86.0,11.7,1.5,4.4,0.3,0.9
Jerome Robinson,37.1,32.0,70.19999999999999,5.1,1.4,2.0,0.3,0.4
Justin Robinson,41.699999999999996,60.0,0.0,1.4,0.8,0.6,0.1,0.0
Mitchell Robinson,74.2,0.0,56.8,9.7,0.6,7.0,2.0,0.9
Isaiah Roby,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0
Rajon Rondo,41.8,32.800000000000004,65.9,7.1,5.0,3.0,0.0,0.8
Derrick Rose,49.0,30.599999999999998,87.1,18.1,5.6,2.4,0.3,0.8
Terrence Ross,40.300000000000004,35.099999999999994,85.3,14.7,1.2,3.2,0.3,1.1
Terry Rozier,42.3,40.699999999999996,87.4,18.0,4.1,4.4,0.2,1.0
Ricky Rubio,41.5,36.1,86.3,13.0,8.8,4.7,0.2,1.4
D'Angelo Russell,42.6,36.7,80.9,23.1,6.3,3.9,0.3,1.1
Domantas Sabonis,54.0,25.4,72.3,18.5,5.0,12.4,0.5,0.8
Luka Šamanić,31.3,37.5,75.0,5.3,2.0,3.3,0.7,0.0
JaKarr Sampson,59.099999999999994,15.4,66.7,4.6,0.6,2.6,0.4,0.5
Dario Šarić,47.599999999999994,35.699999999999996,84.39999999999999,10.7,1.9,6.2,0.2,0.6
Tomáš Satoranský,43.0,32.2,87.6,9.9,5.4,3.9,0.1,1.2
Admiral Schofield,38.0,31.1,66.7,3.0,0.5,1.4,0.1,0.2
Dennis Schröder,46.9,38.5,83.89999999999999,18.9,4.0,3.6,0.2,0.7
Mike Scott,42.6,36.9,81.10000000000001,6.0,0.8,3.6,0.1,0.3
Thabo Sefolosha,40.699999999999996,27.800000000000004,37.5,2.2,0.6,2.3,0.3,0.6
Collin Sexton,47.199999999999996,38.0,84.6,20.8,3.0,3.1,0.1,1.0
Landry Shamet,40.400000000000006,37.5,85.5,9.3,1.9,1.9,0.2,0.4
Marial Shayok,25.0,33.300000000000004,75.0,2.8,0.3,1.8,0.3,0.0
Iman Shumpert,32.800000000000004,24.2,57.099999999999994,4.2,0.9,2.6,0.2,0.9
Pascal Siakam,45.300000000000004,35.9,79.2,22.9,3.5,7.3,0.9,1.0
Chris Silva,61.5,0.0,67.30000000000001,3.0,0.5,2.9,0.5,0.2
Ben Simmons,57.99999999999999,28.599999999999998,62.1,16.4,8.0,7.8,0.6,2.1
Anfernee Simons,39.900000000000006,33.2,82.6,8.3,1.4,2.2,0.1,0.4
Alen Smailagić,50.0,23.1,84.2,4.2,0.9,1.9,0.3,0.2
Marcus Smart,37.5,34.699999999999996,83.6,12.9,4.9,3.8,0.5,1.7
Dennis Smith Jr.,34.1,29.599999999999998,50.9,5.5,2.9,2.3,0.2,0.8
Ish Smith,44.7,36.7,72.1,10.9,4.9,3.2,0.4,0.9
J.R. Smith,31.8,9.1,100.0,2.8,0.5,0.8,0.0,0.2
Zhaire Smith,27.3,0.0,50.0,1.1,0.3,0.3,0.0,0.4
Tony Snell,44.5,40.2,100.0,8.0,2.2,1.9,0.3,0.5
Omari Spellman,43.1,39.1,79.3,7.6,1.0,4.5,0.5,0.7
Max Strus,66.7,0.0,100.0,2.5,0.0,0.5,0.0,0.0
Edmond Sumner,43.0,26.400000000000002,55.2,4.9,1.8,1.5,0.3,0.5
Caleb Swanigan,59.599999999999994,0.0,52.900000000000006,2.4,1.1,3.7,0.3,0.1
Jayson Tatum,45.0,40.300000000000004,81.2,23.4,3.0,7.0,0.9,1.4
Jeff Teague,43.6,36.8,87.3,10.9,5.2,2.4,0.3,0.7
Garrett Temple,37.8,32.9,80.5,10.3,2.5,3.5,0.5,0.8
Daniel Theis,56.599999999999994,33.300000000000004,76.3,9.2,1.7,6.6,1.3,0.6
Isaiah Thomas,40.8,41.3,81.6,12.2,3.7,1.7,0.2,0.3
Khyri Thomas,29.4,35.699999999999996,50.0,2.1,0.4,0.1,0.0,0.4
Lance Thomas,34.8,30.8,100.0,3.4,0.9,1.9,0.0,0.0
Matt Thomas,48.699999999999996,47.5,75.0,4.9,0.5,1.5,0.0,0.2
Tristan Thompson,51.2,39.1,61.5,12.0,2.1,10.1,0.9,0.6
Sindarius Thornwell,54.50000000000001,50.0,50.0,8.0,2.0,2.0,0.5,0.5
Matisse Thybulle,42.3,35.699999999999996,61.0,4.7,1.2,1.6,0.7,1.4
Anthony Tolliver,35.699999999999996,33.800000000000004,72.39999999999999,3.6,0.8,2.8,0.2,0.3
Juan Toscano-Anderson,46.0,34.8,60.0,5.3,2.0,4.0,0.4,1.0
Karl-Anthony Towns,50.8,41.199999999999996,79.60000000000001,26.5,4.4,10.8,1.2,0.9
Gary Trent Jr.,44.4,41.8,82.19999999999999,8.9,1.0,1.6,0.3,0.8
Allonzo Trier,48.1,35.8,79.10000000000001,6.5,1.2,1.2,0.2,0.1
P.J. Tucker,41.5,35.8,81.3,6.9,1.6,6.6,0.5,1.1
Rayjon Tucker,46.5,17.599999999999998,82.6,3.1,0.3,1.0,0.1,0.1
Evan Turner,37.3,0.0,85.7,3.3,2.0,2.0,0.4,0.5
Myles Turner,45.7,34.4,75.1,12.1,1.2,6.6,2.1,0.7
Jarrod Uthoff,38.9,33.300000000000004,100.0,2.7,0.0,0.9,0.0,0.1
Jonas Valančiūnas,58.5,35.199999999999996,74.0,14.9,1.9,11.3,1.1,0.4
Denzel Valentine,40.9,33.6,75.0,6.8,1.2,2.1,0.2,0.7
Jarred Vanderbilt,62.5,0.0,100.0,1.1,0.2,0.8,0.1,0.3
Fred VanVleet,41.3,39.0,84.8,17.6,6.6,3.8,0.3,1.9
Gabe Vincent,21.6,22.2,0.0,2.4,0.7,0.6,0.0,0.6
Noah Vonleh,56.49999999999999,20.0,78.10000000000001,3.7,0.8,3.4,0.2,0.3
Nikola Vučević,47.699999999999996,33.900000000000006,78.4,19.6,3.6,10.9,0.8,0.9
Dean Wade,69.19999999999999,50.0,0.0,1.7,0.2,1.6,0.3,0.2
Moritz Wagner,54.50000000000001,31.3,82.1,8.7,1.2,4.9,0.4,0.6
Dion Waiters,41.4,31.900000000000002,82.39999999999999,11.1,2.0,2.4,0.6,0.4
Kemba Walker,42.5,38.1,86.4,20.4,4.8,3.9,0.5,0.9
Lonnie Walker IV,42.6,40.6,72.1,6.4,1.1,2.3,0.2,0.5
Tyrone Wallace,31.8,6.7,64.7,2.9,0.9,1.6,0.1,0.5
Derrick Walton,46.2,41.699999999999996,77.8,2.0,1.0,0.6,0.0,0.3
Brad Wanamaker,44.800000000000004,36.3,92.60000000000001,6.9,2.5,2.0,0.2,0.9
T.J. Warren,53.6,40.300000000000004,81.89999999999999,19.8,1.5,4.2,0.5,1.2
P.J. Washington,45.5,37.4,64.7,12.2,2.1,5.4,0.8,0.9
Yuta Watanabe,44.1,37.5,37.5,2.0,0.3,1.1,0.1,0.3
Tremont Waters,28.599999999999998,16.7,100.0,3.6,1.5,1.1,0.2,0.9
Paul Watson,38.5,33.300000000000004,77.8,3.1,0.8,1.7,0.1,0.4
Quinndary Weatherspoon,29.4,20.0,50.0,1.1,1.0,0.6,0.1,0.3
Russell Westbrook,47.199999999999996,25.8,76.3,27.2,7.0,7.9,0.4,1.6
Coby White,39.4,35.4,79.10000000000001,13.2,2.7,3.5,0.1,0.8
Derrick White,45.800000000000004,36.6,85.3,11.3,3.5,3.3,0.9,0.6
Hassan Whiteside,62.1,57.099999999999994,68.60000000000001,15.5,1.2,13.5,2.9,0.4
Andrew Wiggins,44.7,33.2,70.89999999999999,21.8,3.7,5.1,1.0,0.8
Grant Williams,41.199999999999996,25.0,72.2,3.4,1.0,2.6,0.5,0.4
Johnathan Williams,55.900000000000006,0.0,53.800000000000004,3.0,0.5,4.3,0.5,0.1
Kenrich Williams,34.699999999999996,25.8,34.599999999999994,3.5,1.5,4.8,0.5,0.7
Lou Williams,41.8,35.199999999999996,86.1,18.2,5.6,3.1,0.2,0.7
Marvin Williams,44.6,35.9,86.0,5.9,1.0,3.2,0.5,0.6
Robert Williams,72.7,0.0,64.7,5.2,0.9,4.4,1.2,0.8
Nigel Williams-Goss,31.3,28.599999999999998,100.0,1.4,0.6,0.6,0.1,0.3
Zion Williamson,58.3,42.9,64.0,22.5,2.1,6.3,0.4,0.7
D.J. Wilson,39.4,24.7,61.1,3.6,0.7,2.5,0.1,0.1
Justise Winslow,38.800000000000004,22.2,66.7,11.3,4.0,6.6,0.5,0.6
Christian Wood,56.699999999999996,38.6,74.4,13.1,1.0,6.3,0.9,0.5
Delon Wright,46.2,37.0,77.0,6.9,3.3,3.8,0.3,1.2
Justin Wright-Foreman,35.0,20.0,75.0,4.8,1.8,1.3,0.0,0.5
Thaddeus Young,44.800000000000004,35.6,58.3,10.3,1.8,4.9,0.4,1.4
Trae Young,43.7,36.1,86.0,29.6,9.3,4.3,0.1,1.1
Cody Zeller,52.400000000000006,24.0,68.2,11.1,1.5,7.1,0.4,0.7
Tyler Zeller,25.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
Ante Žižić,56.89999999999999,0.0,73.7,4.4,0.3,3.0,0.2,0.3
Ivica Zubac,61.3,0.0,74.7,8.3,1.1,7.5,0.9,0.2
