Player,FG%,3P%,FT%,PTS,AST,TRB,BLK,STL
Moses Brown,40.0,0.0,37.5,1.2,0.1,1.6,0.1,0.1
Sterling Brown,37.1,32.4,80.0,5.1,1.0,3.5,0.1,0.6
Troy Brown Jr.,43.9,34.1,78.4,10.4,2.6,5.6,0.1,1.2
Jalen Brunson,46.6,35.8,81.3,8.2,3.3,2.4,0.1,0.4
Thomas Bryant,58.099999999999994,40.699999999999996,74.1,13.2,1.8,7.2,1.1,0.5
Reggie Bullock,40.2,33.300000000000004,81.0,8.1,1.4,2.3,0.1,0.9
Trey Burke,45.0,42.699999999999996,79.3,7.4,2.5,1.5,0.1,0.5
Alec Burks,41.8,38.5,88.7,15.0,2.9,4.3,0.3,0.9
Deonte Burton,34.4,18.9,57.099999999999994,2.7,0.4,1.5,0.3,0.2
Jimmy Butler,45.5,24.4,83.39999999999999,19.9,6.0,6.7,0.6,1.8
Bruno Caboclo,42.699999999999996,18.2,88.9,3.0,0.4,2.0,0.6,0.5
Devontae Cacok,50.0,0.0,0.0,6.0,1.0,5.0,0.0,0.0
Kentavious Caldwell-Pope,46.7,38.5,77.5,9.3,1.6,2.1,0.2,0.8
Vlatko Čančar,40.0,16.7,100.0,1.2,0.2,0.7,0.1,0.1
Clint Capela,62.9,0.0,52.900000000000006,13.9,1.2,13.8,1.8,0.8
DeMarre Carroll,37.9,24.2,69.0,3.6,1.0,2.3,0.2,0.3
Jevon Carter,41.6,42.5,85.2,4.9,1.4,2.0,0.3,0.8
Vince Carter,35.199999999999996,30.2,79.3,5.0,0.8,2.1,0.4,0.4
Wendell Carter Jr.,53.400000000000006,20.7,73.7,11.3,1.2,9.4,0.8,0.8
Michael Carter-Williams,42.699999999999996,29.299999999999997,83.2,7.2,2.4,3.3,0.5,1.1
Alex Caruso,41.199999999999996,33.300000000000004,73.4,5.5,1.9,1.9,0.3,1.1
Willie Cauley-Stein,57.9,0.0,60.6,7.2,1.3,5.8,1.1,0.9
Tyson Chandler,77.8,0.0,46.2,1.3,0.2,2.5,0.3,0.2
Wilson Chandler,40.400000000000006,30.599999999999998,87.0,5.9,1.1,4.1,0.3,0.5
Joe Chealey,0.0,0.0,100.0,0.5,0.3,0.0,0.0,1.0
Zylan Cheatham,66.7,0.0,0.0,3.0,0.8,2.3,0.3,0.3
Chris Chiozza,39.300000000000004,37.5,100.0,5.1,3.0,1.9,0.1,0.8
Marquese Chriss,54.50000000000001,20.5,76.9,9.3,1.9,6.2,1.1,0.7
Gary Clark,40.6,35.099999999999994,90.0,3.7,0.4,2.6,0.5,0.1
Brandon Clarke,61.8,35.9,75.9,12.1,1.4,5.9,0.8,0.6
Jordan Clarkson,45.4,36.8,83.6,15.2,1.9,2.6,0.2,0.6
Nic Claxton,56.3,14.299999999999999,52.400000000000006,4.4,1.1,2.9,0.5,0.1
Chris Clemons,40.1,34.599999999999994,90.9,4.9,0.8,0.9,0.2,0.3
Antonius Cleveland,28.599999999999998,0.0,60.0,1.0,0.1,0.6,0.3,0.1
Amir Coffey,42.6,31.6,54.50000000000001,3.2,0.8,0.9,0.1,0.3
John Collins,58.3,40.1,80.0,21.6,1.5,10.1,1.6,0.8
Zach Collins,47.099999999999994,36.8,75.0,7.0,1.5,6.3,0.5,0.5
Mike Conley,40.9,37.5,82.69999999999999,14.4,4.4,3.2,0.1,0.8
Pat Connaughton,45.5,33.1,77.5,5.4,1.6,4.2,0.5,0.4
Quinn Cook,42.5,36.5,78.60000000000001,5.1,1.1,1.2,0.0,0.3
Tyler Cook,66.7,0.0,87.5,1.8,0.1,1.1,0.0,0.2
Robert Covington,42.199999999999996,33.5,79.80000000000001,12.4,1.3,6.6,1.3,1.6
Allen Crabbe,35.6,30.3,71.39999999999999,4.6,0.9,2.1,0.1,0.4
Torrey Craig,46.1,32.6,61.1,5.4,0.8,3.3,0.6,0.4
Jamal Crawford,50.0,50.0,0.0,5.0,3.0,0.0,0.0,0.0
Jae Crowder,40.1,34.300000000000004,77.60000000000001,10.5,2.5,5.9,0.4,1.1
Jarrett Culver,40.400000000000006,29.9,46.2,9.2,1.7,3.4,0.6,0.9
Seth Curry,49.5,45.2,82.5,12.4,1.9,2.3,0.1,0.6
Stephen Curry,40.2,24.5,100.0,20.8,6.6,5.2,0.4,1.0
Troy Daniels,38.7,34.8,62.5,4.3,0.4,1.1,0.1,0.2
Anthony Davis,50.3,33.0,84.6,26.1,3.2,9.3,2.3,1.5
Ed Davis,47.8,0.0,50.0,1.8,0.4,3.8,0.3,0.4
Terence Davis,45.6,38.800000000000004,86.4,7.5,1.6,3.3,0.2,0.5
Dewayne Dedmon,40.0,20.599999999999998,83.3,5.8,0.5,5.7,0.9,0.6
Matthew Dellavedova,35.4,23.1,86.5,3.1,3.2,1.3,0.0,0.4
DeMar DeRozan,53.1,25.7,84.5,22.1,5.6,5.5,0.3,1.0
Cheick Diallo,64.8,33.300000000000004,87.2,4.7,0.5,2.8,0.3,0.2
Hamidou Diallo,44.6,28.1,60.3,6.9,0.8,3.6,0.2,0.8
Gorgui Dieng,45.6,35.5,77.2,7.4,1.2,5.6,0.9,0.8
Spencer Dinwiddie,41.5,30.8,77.8,20.6,6.8,3.5,0.3,0.6
Donte DiVincenzo,45.5,33.6,73.3,9.2,2.3,4.8,0.3,1.3
Luka Dončić,46.300000000000004,31.6,75.8,28.8,8.8,9.4,0.2,1.0
Luguentz Dort,39.4,29.7,79.2,6.8,0.8,2.3,0.1,0.9
